240133-2008;44211000
240134-2008;32570000
240135-2008;38510000,38600000
240136-2008;15221000,15331170,15555100,15896000
240137-2008;32428000,48821000
240138-2008;14721000
240139-2008;33111800
240140-2008;30213100,30232000
240141-2008;09100000
240142-2008;33184100
240143-2008;33651600
240144-2008;24111500
240145-2008;38434540
240146-2008;48611000
240147-2008;24000000,24900000
240148-2008;33100000
240149-2008;14450000,34927100
240150-2008;18141000,34928480,39800000,39831700
240151-2008;24111500
240152-2008;35113400
240153-2008;33162200
240154-2008;30191400
240155-2008;33600000
240156-2008;42651000,43000000,43300000,43640000
240157-2008;48000000
240158-2008;39130000
240159-2008;30237110
240160-2008;38000000
240161-2008;32211000,32223000
240162-2008;38000000
240163-2008;39111000
240164-2008;14820000
240165-2008;39160000
240166-2008;34144210
240167-2008;33696200
240168-2008;71000000
240169-2008;71000000
240170-2008;55000000
240171-2008;90510000,90512000,90513000,90513100,90514000
240172-2008;71315200
240173-2008;73000000
240174-2008;98300000
240175-2008;32500000
240176-2008;71351810,71355000
240177-2008;60100000
240178-2008;45500000
240179-2008;60112000
240180-2008;90910000,90911000
240181-2008;31155000
240182-2008;90910000
240183-2008;60112000
240184-2008;75200000
240185-2008;66513200,66515000
240186-2008;66513200
240187-2008;71314200,71314300
240188-2008;66510000,66513200,66514000
240189-2008;90911200
240190-2008;30211400
240191-2008;73000000
240192-2008;79310000,79320000
240193-2008;60112000,60172000
240194-2008;71317200
240195-2008;80530000
240196-2008;85143000
240197-2008;55000000
240198-2008;64200000
240199-2008;71351810
240200-2008;66516000
240201-2008;33742000
240202-2008;66120000
240203-2008;60000000
240204-2008;90600000,90910000,90911200
240205-2008;90523100
240206-2008;50421200
240207-2008;50312300
240208-2008;85144000
240209-2008;79411000,79800000
240210-2008;79410000
240211-2008;50750000
240212-2008;72130000
240213-2008;72590000
240214-2008;75230000
240215-2008;79931000
240216-2008;90910000,90911000,90911100,90911200,90911300,90919200
240217-2008;79400000
240218-2008;66510000
240219-2008;79400000,79414000,79416000,79421000,80521000
240220-2008;60112000
240221-2008;60112000
240222-2008;72000000
240223-2008;72000000
240224-2008;80400000
240225-2008;55300000,55330000,55500000,55523000
240226-2008;50312600
240227-2008;64212000
240228-2008;90511200,90514000
240229-2008;55320000
240230-2008;75200000,79300000,79315000,98133100
240231-2008;50000000
240232-2008;92312212,92312213
240233-2008;71631450
240234-2008;72221000,79311400
240235-2008;75122000
240236-2008;73000000
240237-2008;71221000
240238-2008;90523100
240239-2008;73000000
240240-2008;73000000
240241-2008;50510000
240242-2008;72230000
240243-2008;79314000
240244-2008;90911200
240245-2008;90911100
240246-2008;72227000
240247-2008;71410000
240248-2008;50211210
240249-2008;72211000
240250-2008;72260000
240251-2008;66130000
240252-2008;71318000
240253-2008;72211000
240254-2008;60112000
